   edgecnt,totalfence,    keycnt,       pts,     polys,       gen,      cost,  fencecnt
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         2
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         3
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         3
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         2
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         3
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         3
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         3
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         3
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         2
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         2
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         3
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         2
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         2
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         2
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         2
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         2
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         3
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         4
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         4
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
     23223,     26833,     15150,        16,       157,     28324,   23853.2,         1
